topic,rank,representative_text
-1,1,"And then as we get driving, I'll show you some three new modes that we have."
-1,2,"The Clarity Electric is an early part of that effort and is designed for the EV purists, customers who want the experience of an all-electric vehicle combined with the premium quality, five-passenger sedan space and affordability of a Clarity."
-1,3,"It will be available as a hybrid with a class-leading fuel economy, a plug-in hybrid that could travel more than 25 miles on electric power, and also provide the efficiency of a conventional hybrid and an electric vehicle that has a range of 110 miles, which is the highest of any compact electric vehicle that is currently in the marketplace."
-1,4,"The handling was spectacular, I thought. Handles really well. Like no money in my boxcar."
-1,5,It is a beautiful design. Yes. John and Kate and his design team did an excellent job.
-1,6,"Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice."
0,1,"Hello and welcome wherever you are in the world to this very special occasion, the global livestream reveal of the Volvo S60, the new Volvo S60."
0,2,"That's why the new LEAF is not only an EV. is the icon of Nissan Intelligent Mobility, our vision to move people to a better world."
0,3,"The technologies of the new Nissan LEAF do not only offer driving pleasure and better convenience, but also contribute to safety performance."
0,4,My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.
0,5,He was having far too much fun. All the technology is easy to use.
0,6,Absolutely. But what do you say we get inside the car and take it for a spin?
1,1,"The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood."
1,2,"So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels."
1,3,"Interior color combinations, full leather upholsteries, and decor of carbon fiber, walnut, birch, metal, and aluminium."
1,4,My wife was commenting on how nice the lighting system was in the car and how easy it was to see the road.
1,5,I went and put them on brights. it was like full moon.
1,6,Hopefully something for everybody. I noticed that the car definitely stays planted when I'm cornering like this.
2,1,"With this loading position, trunk space is maximized while still allowing for rear seat passengers."
2,2,"First I'm going to start off with seats. So on the driver's side seat only, underneath the center of the seat, there's a latch that you can make the seat go forward or backwards so you can make the car fit for you."
2,3,"The cabin provides ample legroom, rear seat room, both for rear seat passengers as well as great headroom in the front for front seat passengers."
2,4,"It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back."
2,5,"Your body is supported in the form-fitting seats, your hands a glove fit with the steering wheel, and the very thin A-pillar contributes to a clear view out the front as the interior just kind of disappears while you engage in the task of enjoying your drive."
2,6,"Headroom pretty tight here, I'm six feet tall, that's where I'd sit to drive."
3,1,"All right. First question. In inches, what is the size display of the standard audio system featuring Apple CarPlay and Android Auto?"
3,2,Apple CarPlay or Android Auto offer a more seamless integration of your personal smartphone.
3,3,"An available 8-inch touchscreen navigation system ensures you're on the right route, or the available 7-inch display audio system with smartphone functionality keeps you connected."
3,4,It's a version of Audi's MMI touch used in other Audi vehicles of late.
3,5,This one places the touch pad right on top of the center knob right here.
3,6,"The MMI touch response operating system is engineered to make interaction more intuitive, similar to that of a smartphone."
4,1,"A spirited 2.0-liter, 147-horsepower, 4-cylinder comes standard under the hood. If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission."
4,2,This engine generates the performance of a V6 with the fuel economy of a 4-cylinder engine.
4,3,"A spirited 2.0-liter, 147-horsepower, 4-cylinder comes standard under the hood. If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission that delivers 128 horsepower and up to an EPA-estimated 40 miles per gallon highway."
4,4,"The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one."
4,5,"It's a 2.0 liter engine, putting out 150 horsepower. It's made it to a five-speed automatic transmission."
4,6,"This is a high, but it's not like the classic hybrid where you're saving gas mileage Let it in at home you press your foot down You get the immediate torque of the electric motors while that turbo engine is spooling up and then gives you full power Okay, so that's how it's like in my car Where it's like I'll be sitting at a stoplight and I'll slam the pedal down and like what happened Okay, now it's starting"
5,1,"Automatic emergency braking with pedestrian detection, main departure warning system. along with blind spot detection and rear cross-traffic alert are offered on the vehicle."
5,2,"Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert."
5,3,"Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features, such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert."
5,4,I'll just walk. I never have before. So you brake going into the turn.
5,5,"The available Adaptive Cruise Assist can help ease the stress of the road at normal highway speeds with active lane sensing, stop and go, and lane centering steering guidance."
