Topic,Count,Name,Representation,Representative_Docs
-1,3216,-1_car_new_vehicle_driving,"['car', 'new', 'vehicle', 'driving', 'drive', 'electric', 'range', 'polestar', 'fuel', 'mode']","[""And then as we get driving, I'll show you some three new modes that we have."", 'The Clarity Electric is an early part of that effort and is designed for the EV purists, customers who want the experience of an all-electric vehicle combined with the premium quality, five-passenger sedan space and affordability of a Clarity.', 'It will be available as a hybrid with a class-leading fuel economy, a plug-in hybrid that could travel more than 25 miles on electric power, and also provide the efficiency of a conventional hybrid and an electric vehicle that has a range of 110 miles, which is the highest of any compact electric vehicle that is currently in the marketplace.']"
0,4130,0_new_car_design_cars,"['new', 'car', 'design', 'cars', 'hyundai', 'vehicle', 'electric', 'volvo', 'audi', 'lexus']","['Hello and welcome wherever you are in the world to this very special occasion, the global livestream reveal of the Volvo S60, the new Volvo S60.', ""That's why the new LEAF is not only an EV. is the icon of Nissan Intelligent Mobility, our vision to move people to a better world."", 'The technologies of the new Nissan LEAF do not only offer driving pleasure and better convenience, but also contribute to safety performance.']"
1,1008,1_interior_rear_car_steering,"['interior', 'rear', 'car', 'steering', 'design', 'led', 'light', 'high', 'dynamic', 'carbon']","['The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood.', 'So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels.', 'Interior color combinations, full leather upholsteries, and decor of carbon fiber, walnut, birch, metal, and aluminium.']"
2,447,2_seat_seats_rear_storage,"['seat', 'seats', 'rear', 'storage', 'cargo', 'space', 'trunk', 'door', 'open', 'passenger']","['With this loading position, trunk space is maximized while still allowing for rear seat passengers.', ""First I'm going to start off with seats. So on the driver's side seat only, underneath the center of the seat, there's a latch that you can make the seat go forward or backwards so you can make the car fit for you."", 'The cabin provides ample legroom, rear seat room, both for rear seat passengers as well as great headroom in the front for front seat passengers.']"
3,347,3_display_navigation_screen_information,"['display', 'navigation', 'screen', 'information', 'destination', 'apple', 'apple carplay', 'carplay', 'smartphone', 'touchscreen']","['All right. First question. In inches, what is the size display of the standard audio system featuring Apple CarPlay and Android Auto?', 'Apple CarPlay or Android Auto offer a more seamless integration of your personal smartphone.', ""An available 8-inch touchscreen navigation system ensures you're on the right route, or the available 7-inch display audio system with smartphone functionality keeps you connected.""]"
4,279,4_horsepower_engine_torque_liter,"['horsepower', 'engine', 'torque', 'liter', 'cylinder', 'gallon', 'fuel', 'electric', 'motor', 'power']","[""A spirited 2.0-liter, 147-horsepower, 4-cylinder comes standard under the hood. If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission."", 'This engine generates the performance of a V6 with the fuel economy of a 4-cylinder engine.', ""A spirited 2.0-liter, 147-horsepower, 4-cylinder comes standard under the hood. If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission that delivers 128 horsepower and up to an EPA-estimated 40 miles per gallon highway.""]"
5,273,5_lane_blind_traffic_brake,"['lane', 'blind', 'traffic', 'brake', 'spot', 'blind spot', 'collision', 'braking', 'assist', 'detection']","['Automatic emergency braking with pedestrian detection, main departure warning system. along with blind spot detection and rear cross-traffic alert are offered on the vehicle.', 'Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert.', 'Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features, such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert.']"
6,192,6_charging_charge_vehicle_stations,"['charging', 'charge', 'vehicle', 'stations', 'plug', 'indicates', 'charging stations', 'displayed', 'cable', 'charger']","['You can turn on favorites and show charging stations. The charging stations will be displayed on the map along with a color-coded status, if the information is available.', ""Don't start or move the vehicle while it's charging. When the charge level display in the car, and often on the charger too, shows 100%, the battery is fully charged."", ""You'll find 240 volt charging at most public charging stations, and you might have had a 240 charging station professionally installed in your home.""]"
7,161,7_battery_lithium_batteries_pack,"['battery', 'lithium', 'batteries', 'pack', 'battery pack', 'lithium ion', 'ion', 'energy', 'electric', 'iron']","[""Okay, so we're looking up on the underside of the battery pack."", 'One is the high-density lithium-ion battery, which is a requirement of electric vehicles.', ""cars you know the battery race continues here you are breaking away with lithium iron yeah it's the same family of chemistry in the lithium chemistry but we're using lithium iron instead of lithium ion or lithium ion phosphate so we give up a little bit of power density but it's a much safer battery pack we don't have runaway thermal issues if you'll remember a few years ago there were laptop computers that were catching on fire that was""]"
8,155,8_infiniti_q50_infinity_new,"['infiniti', 'q50', 'infinity', 'new', 'brand', 'johan', 'performance', 'market', 'design', 'sedan']","[""Hello, I'm Jane, a product specialist for Infiniti, and this is the all-new Infiniti Q50."", ""The Q50 is the latest premium performance sedan from Infiniti. The Q50 is longer, lower, and wider than Infiniti's previous G37 sedan, and it has world's first advances for the luxury market."", 'So ladies and gentlemen, please welcome the new Infiniti Q50. Here it is, the new Infiniti Q50.']"
