dataset_row,title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,word_count,char_count,topic,document,sentence
0,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,1,1,1,1,30,152,0,Hi my name is Sterling Brown and I'm the Audi Technologist with Audi Minneapolis and today I'm going to be showing you a quick look at the 2020 Audi Q7.,Hi my name is Sterling Brown and I'm the Audi Technologist with Audi Minneapolis and today I'm going to be showing you a quick look at the 2020 Audi Q7.
1,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,2,2,2,1,19,99,0,So here in the front of the 2020 Q7 you'll notice that the entire front fascia has been redesigned.,So here in the front of the 2020 Q7 you'll notice that the entire front fascia has been redesigned.
2,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,3,3,3,1,13,73,0,One new addition is going to be the dynamic matrix design LED headlights.,One new addition is going to be the dynamic matrix design LED headlights.
3,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,4,4,5,2,42,233,0,There's also going to be a laser headlight option available. Now this vehicle is equipped with the black optic package so the surround of the hexagonal single frame grille is going to be blacked out along with the roof rails as well.,There's also going to be a laser headlight option available. Now this vehicle is equipped with the black optic package so the surround of the hexagonal single frame grille is going to be blacked out along with the roof rails as well.
4,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,5,6,6,1,43,231,0,"So here on the side of the 2020 Q7, you'll notice that the overall silhouette has remained unchanged from the 2019 model except for the side skirt has been redesigned to make it a little bit more chiseled, a little bit more sporty.","So here on the side of the 2020 Q7, you'll notice that the overall silhouette has remained unchanged from the 2019 model except for the side skirt has been redesigned to make it a little bit more chiseled, a little bit more sporty."
5,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,6,7,7,1,20,93,0,And they also have a new wheel design so these are going to be 21 inch wheels front and rear.,And they also have a new wheel design so these are going to be 21 inch wheels front and rear.
6,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,7,8,8,1,32,155,0,So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person.,So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person.
7,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,8,9,9,1,19,102,0,You're going to kick underneath the bumper and immediately back up and the hatch will open up for you.,You're going to kick underneath the bumper and immediately back up and the hatch will open up for you.
8,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,9,10,10,1,36,184,0,And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.,And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.
9,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,10,11,11,1,80,393,0,So here in the cockpit of the 2020 Q7 you'll notice that the entire dashboard has been redesigned so you have your dual touch screen set up the same that we see in the A6 and A7 so much like a smartphone you can swipe left and right on the top screen to see your different icons you could also press and hold on any of these different icons to drag and drop and move them around to your liking,So here in the cockpit of the 2020 Q7 you'll notice that the entire dashboard has been redesigned so you have your dual touch screen set up the same that we see in the A6 and A7 so much like a smartphone you can swipe left and right on the top screen to see your different icons you could also press and hold on any of these different icons to drag and drop and move them around to your liking
10,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,11,11,12,2,20,101,0,and that also includes your left hand stack. So on the lower screen you have all of your AC controls.,and that also includes your left hand stack. So on the lower screen you have all of your AC controls.
11,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,12,13,13,1,28,131,0,You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well.,You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well.
12,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,13,14,14,1,25,138,0,"Now directly in front of you, you have your Virtual Cockpit Plus which is going to be the second generation of our virtual cockpit system.","Now directly in front of you, you have your Virtual Cockpit Plus which is going to be the second generation of our virtual cockpit system."
13,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,14,15,15,1,20,114,0,You'll control that by using these two arrows pointing left and right on the left-hand side of the steering wheel.,You'll control that by using these two arrows pointing left and right on the left-hand side of the steering wheel.
14,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,15,16,16,1,24,138,0,"So you have your vehicle information tab, you have your radio and media, you have your telephone and then lastly you have your navigation.","So you have your vehicle information tab, you have your radio and media, you have your telephone and then lastly you have your navigation."
15,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,16,17,17,1,20,110,0,Now you can hit this view button and it'll minimize your gauges and maximize the information is in the center.,Now you can hit this view button and it'll minimize your gauges and maximize the information is in the center.
16,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,17,18,18,1,22,121,0,"So most commonly, you see this used with the vehicle's navigation to have that nice and large map in the virtual cockpit.","So most commonly, you see this used with the vehicle's navigation to have that nice and large map in the virtual cockpit."
17,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,18,19,19,1,13,74,0,"Otherwise, that view will also work with any of these different tabs here.","Otherwise, that view will also work with any of these different tabs here."
18,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,19,20,20,1,16,91,0,"Now on the right-hand side of the steering wheel, you have your voice dialogue button here.","Now on the right-hand side of the steering wheel, you have your voice dialogue button here."
19,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,20,21,22,2,20,88,0,"So it's going to be all of your voice controls. So if you tap it, it'll talk to the car.","So it's going to be all of your voice controls. So if you tap it, it'll talk to the car."
20,Audi 2020 Audi Q7 Overview (1080p 60fps H264 128kbit AAC),1,21,23,23,1,21,129,0,"However, if your phone's connected via Bluetooth, you'll have access to your Google Assistant or Siri by pressing and holding it.","However, if your phone's connected via Bluetooth, you'll have access to your Google Assistant or Siri by pressing and holding it."
