Topic,Count,Name,Representation,Representative_Docs
-1,1949,-1_new_car_drive_available,"['new', 'car', 'drive', 'available', 'electric', 'design', 'vehicle']","['In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', 'In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', 'In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.']"
0,1745,0_car_driving_vehicle_assist,"['car', 'driving', 'vehicle', 'assist', 'electric', 'steering', 'new', 'drive', 'features']","[""Highlander further rounds out its safety story with standard blind spot monitor with rear cross traffic alert on all models except L, as well as useful features like available front and rear parking assist and automated braking, and an available digital rear view mirror that shows what's behind the vehicle, even when the cargo area is packed with items."", 'Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces.', 'Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert is designed to inform the driver if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and available Panoramic View Monitor are designed to assist drivers in tight spaces.']"
1,588,1_interior_black_light_rear,"['interior', 'black', 'light', 'rear', 'design', 'lighting', 'roof', 'look']","['But regardless of grade, every model features standard LED exterior lighting, including headlights, taillights, and daytime running lights.', ""Each stylish front-end design provides the perfect framing for Highlander's standard LED lighting, as well as the LED headlights with Adaptive Front Lighting System standard on Platinum."", 'Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen.']"
2,375,2_charging_charge_range_battery,"['charging', 'charge', 'range', 'battery', 'level', 'minutes', 'fast', 'home', 'plug', 'route']","[""Is that for AC and DC charging? Yeah, so the top port is for AC charging, so you're at home, you're level 2 charging, and then hidden by this cover is your DC fast charging port."", 'While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed.', 'So I see all the charging stations here. I know where to charge based off that.']"
3,354,3_excited_customer_customers_point,"['excited', 'customer', 'customers', 'point']","['Hello and thank you for joining us from across America and around the world.', ""It's an interesting thing that in this country, where you have so much inspiration, so much innovation where we have created market segments, we've created sports, we've created enterprises, we've created technologies, where you have icons like Michael Jordan and Bill Gates and Warren Buffett, where we sit as the model for aspiration for all of the world."", 'I am so excited about the future of Chrysler. In addition to developing an all-new product portfolio, the Chrysler brand will perform like a startup, bringing an entrepreneurial spirit, speed, and renewed customer focus to the development of new products, technologies, and services throughout the customer lifecycle.']"
4,306,4_seats_seat_space_heated,"['seats', 'seat', 'space', 'heated', 'rear', 'comfort', 'cargo', 'cubic', 'passengers']","[""and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs."", 'Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips.', 'Plus, available heated and ventilated front seats and available heated outboard rear seats bring a premium touch to this modern space.']"
5,253,5_hybrid_drive_efficiency_available,"['hybrid', 'drive', 'efficiency', 'available', 'performance', 'efficient', 'drivers']","[""And whether you prefer Prius LE AWD E's off-road utility or Prius Prime's electric capabilities, there's no shortage of reasons why the Prius family is home to the world's most iconic hybrids."", ""Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime."", ""And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.""]"
6,227,6_new_electric_line_performance,"['new', 'electric', 'line', 'performance', 'car', 'air', 'specific', 'design']","['The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement.', ""It's the younger brother of our EQS and as you'll see it comes with all the bells and whistles."", ""I'm about to spend the day with the new EQS by Mercedes EQ.""]"
7,206,7_standard_hybrid_available_audio,"['standard', 'hybrid', 'available', 'audio', 'multimedia', 'road', 'plug', 'features']","['Toyota Crown features the newest technologies from Toyota. Every grade comes standard with the latest Toyota Audio Multimedia platform with a 12.3-inch touchscreen, and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions.', 'Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.', ""RAV4 features a standard 7-inch touchscreen display to control Toyota's Audio Multimedia system, while RAV4 Prime XSE, TRD Off-Road, Hybrid XSE, and Limited all come standard with a 9-inch Audio Multimedia touchscreen, which is the largest ever for RAV4.""]"
8,189,8_charging_new_fast_electric,"['charging', 'new', 'fast', 'electric', 'platform', 'space', 'ultra', 'design', 'interior']","['If you would like more information about IONIQ, please visit us at Hyundai.com.', 'IONIQ 5 Limited has a range of 256 miles with all-wheel drive.', 'So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen.']"
