topic,rank,representative_text
-1,1,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
-1,2,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
-1,3,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
-1,4,"Thank you for your interest, and welcome to the 2021 Audi A4 Quattro."
-1,5,"With inspiration from the past and technology from the future, the Audi A4 embodies what a modern day sports sedan should be."
-1,6,"Timeless and purposeful looks, luxurious and sporty interior, along with driving dynamics that will make you never want to get out, the A4 Quattro embodies the Audi brand in one cohesive package."
0,1,"Highlander further rounds out its safety story with standard blind spot monitor with rear cross traffic alert on all models except L, as well as useful features like available front and rear parking assist and automated braking, and an available digital rear view mirror that shows what's behind the vehicle, even when the cargo area is packed with items."
0,2,"Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces."
0,3,"Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert is designed to inform the driver if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and available Panoramic View Monitor are designed to assist drivers in tight spaces."
0,4,"Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more."
0,5,"I had this vision of the car. I started my first sketches, did the proposals, a couple of views, presented, got selected for model."
0,6,We were competing with each other for a couple of months and bit by bit along the way my model remained as a contender.
1,1,"But regardless of grade, every model features standard LED exterior lighting, including headlights, taillights, and daytime running lights."
1,2,"Each stylish front-end design provides the perfect framing for Highlander's standard LED lighting, as well as the LED headlights with Adaptive Front Lighting System standard on Platinum."
1,3,"Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen."
1,4,So this is the key aspect and this brings you into a rear end where the trunk lid is rather short and you have a cookie shaped roof line.
1,5,And this gives a really nice silhouette but with a short deck lid would not be too practical.
1,6,"So actually then incorporating a long deck lid, a long trunk that opens all the way up with the window is a total highlight that even for me as a designer offers this cool blend into functionality and style at the same time."
2,1,"Is that for AC and DC charging? Yeah, so the top port is for AC charging, so you're at home, you're level 2 charging, and then hidden by this cover is your DC fast charging port."
2,2,"While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed."
2,3,So I see all the charging stations here. I know where to charge based off that.
2,4,"The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this?"
2,5,Weird. and there are many home charging options to fit your needs.
2,6,"There's the included 9.6 kilowatt mobile plug-in charger, an available home installation charger, or even an available 19.2 kilowatt charging capability that includes charge ports on both sides."
3,1,Hello and thank you for joining us from across America and around the world.
3,2,"It's an interesting thing that in this country, where you have so much inspiration, so much innovation where we have created market segments, we've created sports, we've created enterprises, we've created technologies, where you have icons like Michael Jordan and Bill Gates and Warren Buffett, where we sit as the model for aspiration for all of the world."
3,3,"I am so excited about the future of Chrysler. In addition to developing an all-new product portfolio, the Chrysler brand will perform like a startup, bringing an entrepreneurial spirit, speed, and renewed customer focus to the development of new products, technologies, and services throughout the customer lifecycle."
3,4,There are those who are content within the boundaries they've created in their lives.
3,5,"Then there are those always asking themselves, what else is out there, waiting to be discovered?"
3,6,This of course saves our customers time and is even a greater convenience.
4,1,"and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs."
4,2,"Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips."
4,3,"Plus, available heated and ventilated front seats and available heated outboard rear seats bring a premium touch to this modern space."
4,4,"That's a small feature that makes a big difference every day, especially with the Q8 e-tron's available heated and air-ventilated seats."
4,5,"The Q8 e-tron offers up to 56.4 cubic feet of storage with the seats folded down, as well as additional front trunk storage."
4,6,"Spaciousness is achieved by taking the volume of the interior and organizing them in horizontal layers, giving you a sense of how wide this interior is."
5,1,"And whether you prefer Prius LE AWD E's off-road utility or Prius Prime's electric capabilities, there's no shortage of reasons why the Prius family is home to the world's most iconic hybrids."
5,2,"Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime."
5,3,And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.
5,4,"In addition, separated fog lights are no longer necessary. The new light signature with two upside down L's makes for a dynamic look."
5,5,"So actually I drive the DYD Gen 1, until now the Gen 2."
5,6,"I know it's late, I'll make that short. Knowing that looking at the first line of the slide, I guess you are thinking, another car, CEO crashing a climate conference, telling us it's safe to drink the washer fluid."
6,1,The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement.
6,2,It's the younger brother of our EQS and as you'll see it comes with all the bells and whistles.
6,3,I'm about to spend the day with the new EQS by Mercedes EQ.
6,4,"While the Q8 e-tron has the rugged versatility for just about any adventure, you shouldn't have to compromise on a sleek design to get there."
6,5,And you will notice how this black sill line wrapping all around the back adds more sportiness.
6,6,"With one click, you can return to the main menu from anywhere in the system."
7,1,"Toyota Crown features the newest technologies from Toyota. Every grade comes standard with the latest Toyota Audio Multimedia platform with a 12.3-inch touchscreen, and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions."
7,2,Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.
7,3,"RAV4 features a standard 7-inch touchscreen display to control Toyota's Audio Multimedia system, while RAV4 Prime XSE, TRD Off-Road, Hybrid XSE, and Limited all come standard with a 9-inch Audio Multimedia touchscreen, which is the largest ever for RAV4."
7,4,"The chassis has been developed by world chassis expert Heinz Keck and features front MacPherson struts and rear multi-link suspension, giving the next generation E6 precise control and agility."
7,5,You can get four seasons in one day. The Causeway is a mix of nature and suspense with a yellow safety telephone featuring its basalt columns created much more than a hundred years ago.
7,6,cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life.
8,1,"If you would like more information about IONIQ, please visit us at Hyundai.com."
8,2,IONIQ 5 Limited has a range of 256 miles with all-wheel drive.
8,3,"So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen."
8,4,The optional travel and comfort sockets with electric connection add extra convenience for them to use their business or downtime in the new 5.
8,5,"So talking about fast charging, the BMW i5 eDrive 40 and the i5 M60 xDrive offer DC charging up to 205 kilowatts, enabling charging times from 10 to 80% in just 30 minutes."
8,6,"For the BMW i5, it can provide up to 22 kilowatts of charging power."
9,1,"Featuring an 8-inch or an available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions."
9,2,"In either case, the latest system includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions."
9,3,"and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including Maps, Messages, Podcasts, and Music subscriptions."
9,4,"For example, you can bring and mount your own personal mobile device and connect it to the in-car Wi-Fi hotspot via the BMW Personal eSIM."
9,5,"In traffic, you can save electric energy in the BMW i5 with the new max range driving mode."
9,6,"The intelligent personal assistant offers all up-to-date vehicle interaction and control features, including proactive suggestions and enhanced display features, like the choice between two visualizations, utterance transcription, and transformational icons."
10,1,"What's more, an available 12.3-inch LCD multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight, giving RAV4 a high-tech feel."
10,2,"Plus, an available 12.3-inch digital multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight."
10,3,"Plus, an available 12.3-inch digital gauge cluster and an available 10-inch head-up display help keep important information in the driver's line of sight."
10,4,You can clearly see the front sitting really low. It's this kind of down-road graphics that make it look powerful and confident at the same time.
10,5,"We call this the interaction bar. And together with the new BMW curved display floating above the large, clear surface of the instrument panel, they are the strongest indicators of the minimalistic digital functionality of the new generation."
10,6,"The brilliant glass-look surface of the interaction bar has touch functionality for important functions like climate control, exterior lights, and the seats."
11,1,"Every grade comes standard with Toyota Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist."
11,2,"That's why every grade comes standard with Toyota Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist."
11,3,"Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."
11,4,"Additionally, the model comes with a comprehensive suite of airbags, ensuring occupant protection in the event of a collision."
11,5,"Now, all three of these electric SUVs have some key safety features standard, like forward collision avoidance assist with pedestrian detection, smart cruise control with stop and go, and blind spot collision avoidance assist."
11,6,"Rear-wheel drive offers Normal, Eco, Custom, and Sport drive modes. All-wheel drive adds in Snow Mode."
12,1,"When it comes to convenient BMW service, not just for the 5 Series and i5, always included in your BMW Connected Drive package, there's BMW Proactive Care."
12,2,"One day driving a BMW, one day working at BMW, one day developing a BMW of the future."
12,3,"By the way, sporty BMW M design is not exclusive to the sportiest model variants of the BMW 5 Series or i5, as a range of BMW M Performance parts is available for all models of the new 5."
12,4,and welcome for the next big product news from BMW and BMW i.
12,5,The best-selling executive sedan finally enters its eighth generation. Here it is the new BMW 5 series and with two versions it also finally joins the BMW i family of a hundred percent electric driving pleasure.
12,6,"This is the first ever BMW i5. The new 5 and the new i5 models move boldly into the future with a cutting-edge powertrain portfolio catering for all driver wishes and individual lifestyles including new mild hybrid petrol and diesel models, models with the newest generation of BMW plug-in hybrid drive and models with the newest generation of BMW fully electric drive."
13,1,"Then we have technical sculpture. Stunning to look at, but there for a reason."
13,2,"Then we have technical sculpture. Stunning to look at, but there for a reason."
13,3,Then we have technical sculpture. Stunning to look at but there for a reason.
13,4,there was this strong idea in my head before I even put the first sketch on paper.
13,5,"We wanted to make it look absolutely new, to look different than the predecessor."
13,6,a maximum of daily usability combined with intelligent performance in a just a beautiful design.
14,1,"When it comes to performance, Toyota Crown delivers thanks to its all-hybrid electric powertrain lineup."
14,2,I sincerely want the world to know what Japan's crown is all about.
14,3,"Two years later, the crown team has manifested a crown for the coming era."
14,4,Only one store didn't have what we needed. Just searching for an alternative?
14,5,"So, Mattia, how did we do that? How was the development process going?"
14,6,Because we can't afford for you to back down. You're just a couple of incredibly ballsy moves away from ensuring your legacy and making history.
15,1,"Meanwhile, Camry TRD declares its performance capabilities with 19-inch TRD matte black wheels."
15,2,"And for Camry TRD, things get taken a step further. And that means more than just packing Camry's high-power V6 under the hood."
15,3,"The new Camry will be offered in 4 grades, LE, XLE, and the Sport Focus SE and XSE."
15,4,"We have the Trofeo version that is more linked to the performance side, so more audacious."
15,5,"Nothing that Lewis can't handle on track, but still plenty of power."
15,6,Introducing the all-new Toyota Camry for 2007. It's time to move forward.
16,1,"and two years unlimited mileage of 24-hour roadside assistance. Furthermore, Highlander's hybrid EV grades have an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making it a strong choice for long-term ownership."
16,2,"along with enhanced three-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile hybrid battery warranty."
16,3,"And two-year unlimited mileage of 24-hour roadside assistance. The strength of RAV4's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership."
16,4,"For projects of this scale we needed, as I already said, five years and if we calculate in days it's more than 2,000 days or 250 weekends and up to now we spend already more than 1,600,000 hours."
16,5,So let's talk about this Mark. It starts at $10 a month.
16,6,"This vehicle is $158 a month which is not unlike a smartphone plant or under 10 grand to start for the Chevy Spark which is big enough, it's as big of a story as the tech itself."
