Topic,Count,Name,Representation,Representative_Docs
-1,3894,-1_steering_driving_vehicle_driver,"['steering', 'driving', 'vehicle', 'driver', 'car', 'drive', 'road', 'toyota']","['In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', 'In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', ""Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist.""]"
0,4852,0_vehicle_car_vehicles_cars,"['vehicle', 'car', 'vehicles', 'cars', 'driving', 'audi', 'bmw', 'corolla', 'mercedes', 'kia']","['But the Mercedes-Benz S-Class was always ahead with time. One more thing I really love about this car.', 'Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.', 'Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.']"
1,970,1_filtered_topic_terms_unavailable,['filtered_topic_terms_unavailable'],"['And we need to trust the people we hire and let them do the best work they can do.', ""Well, I know what we need you to do, and I'm here to make sure you see why."", ""We work a lot with freelancers, but... that is even make us a little bit more sometimes working with freelancers make a little bit more hard because you need to make they feel part of the company and understand the you know the culture of the company and your goals as a leader as well when is your team you're working.""]"
2,756,2_charging_charge_charger_charged,"['charging', 'charge', 'charger', 'charged', 'recharge', 'chargers', 'battery', 'electric', 'kilowatts', 'kilowatt']","['It will go 0 to 60 in just over seven seconds. After all that spirited driving, you can recharge to a 100-mile range in only 30 minutes, or climb back up to 80% charge in as little as 75 minutes using a DC fast charger, giving you the range and the charging speed you need where you want, when you want it.', ""But a new charging feature that's standard on Bolt EUV is a dual-level charge cord that offers both 120 volt and 240 volt options for fast and convenient charging without the need to buy a separate charging unit."", 'While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed.']"
3,481,3_interior_design_inside_luxury,"['interior', 'design', 'inside', 'luxury', 'designers', 'materials', 'designer']","['Now as we head into the interior, I want you to really take a look at the driver-oriented structure of this interior design.', 'You know, of course I want to go on about the interior.', ""I like the side view here from the front. Let's talk about the interior design.""]"
4,411,4_seats_cargo_seating_spacious,"['seats', 'cargo', 'seating', 'spacious', 'seat', 'passengers', 'trunk', 'compartment', 'cabin', 'rear']","['Limited has ventilated front seats, available heated rear seats, along with a power back door.', ""and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs."", 'I like it a lot. And also the seats are new, right?']"
5,335,5_displays_screens_touchscreen_screen,"['displays', 'screens', 'touchscreen', 'screen', 'display', 'hyperscreen', 'audio', 'navigation', 'digital', 'wireless']","[""Plus, an available 12.3-inch digital gauge cluster and an available 10-inch head-up display help keep important information in the driver's line of sight."", ""What's more, an available 12.3-inch LCD multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight, giving RAV4 a high-tech feel."", ""Plus, an available 12.3-inch digital multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight.""]"
6,222,6_horsepower_engine_turbocharged_v8,"['horsepower', 'engine', 'turbocharged', 'v8', 'engines', 'powertrain', 'v6', 'turbo', 'motor', 'motors']","['This is through an intelligent variable transmission. Now for those who want to take their driving experience to the next level, the GT-Line Turbo model is available with a 1.6 liter turbocharged engine that cranks out 190 horsepower and 195 pound-feet of torque.', 'The 3.0-liter V6 engine in the Q8 boasts an impressive 335 horsepower, 369 pound-feet of torque, and can go from 0 to 60 in 5.6 seconds.', 'This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.']"
7,184,7_ioniq_hyundai_ev_hybrid,"['ioniq', 'hyundai', 'ev', 'hybrid', 'innovative', 'sonata', 'vehicle', 'modular', 'electric', 'egmp']","['So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen.', ""We are thrilled to introduce you to Hyundai's first ever IONIQ 5."", ""Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5.""]"
8,166,8_rav4_ev_hybrid_toyota,"['rav4', 'ev', 'hybrid', 'toyota', 'suv', 'vehicle', 'prime', 'rear', 'standard', 'lane']","['And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more.', 'Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.', ""And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever.""]"
