topic,rank,representative_text
-1,1,We'll have to make a new one soon because there's more to come.
-1,2,"But at the same time, it's not stuffy. You know, the car is not stuffy."
-1,3,"But once the car is done, it will take a lot of time."
-1,4,"The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too."
-1,5,"I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car."
-1,6,Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel.
0,1,"For example, the new BMW X1 plug-in hybrid and the BMW X2 and the electrified BMW 3 Series Touring will be attractive additions to our wide range."
0,2,This is what the BMW 5 Series is all about. This is the new BMW 5 Series.
0,3,"I know, why is that? Yeah, I only see you at the car show."
0,4,It'll help you stand out when you're ready to step up. Ready to see for yourself?
0,5,And you can really tell that the car's been designed around the driver.
0,6,Ready to see for yourself? Let's go. I need my car to look great.
1,1,"And it shows in some of the technical choices we've made. For example, the IONIQ Hybrid and Plug-in Hybrid employ a 6-speed dual-clutch transmission and multi-link rear suspension."
1,2,But the 2018 model delivers even better ride and responsive driving dynamics with recalibrated steering and updated rear suspension with re-engineered rear trailing arms.
1,3,The rear wheel steering turns the rear wheels up to 5 degrees.
1,4,Hopefully something for everybody. I noticed that the car definitely stays planted when I'm cornering like this.
1,5,Are there any suspension improvements that were made? This vehicle does have amplitude reactive dampers to help to keep the body flat and keep control over the bumps.
1,6,"Absolutely. Quite a few things, starting from the aerodynamics of the car, not only the overall shape, but things like the underbody covers that are designed to help air slip through the bottom of the vehicle, all the way to things like tires, having the right rubber compound for minimum rolling resistance, and then things like transmission tuning, engine tuning, all done for maximum fuel economy."
2,1,The primary electric motor up front develops 129 horsepower or 96 kilowatts and 184 pound-feet of torque for a combined system horsepower and torque rating of 357 and 420 pound-feet respectively.
2,2,"Like the Active Hybrid 7, the electric motor can generate additional horsepower and torque to supplement the combustion engine under acceleration."
2,3,This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.
2,4,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine."
2,5,Now this thing is fun to drive. It has a whopping 377 total system horsepower.
2,6,"The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one."
3,1,The rear seats in the i3 can be folded down to increase the cargo area.
3,2,"So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels."
3,3,"Now, it's not just about having a back seat. It's about the ability to fold down the back seat and have some actual cargo space."
3,4,And it only gets better on the inside with paddle shifters and redesigned sports seats.
3,5,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat."
3,6,"Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather."
4,1,Apple CarPlay or Android Auto offer a more seamless integration of your personal smartphone.
4,2,You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays.
4,3,"For example, one new feature is the display of smartphone navigation apps in the instrument cluster and the head-up display."
4,4,"Absolutely. The key point of the driver is to drive, but we understand that connectivity and entertainment are high priorities, so we try to put the features and the controls where they need to be that's more easily usable."
4,5,"This is the world debut of the interior we call the human support cockpit because it's designed from the driver out, seamlessly integrating beautiful design and supercar performance."
4,6,It's a version of Audi's MMI touch used in other Audi vehicles of late.
5,1,"Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features, such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert."
