Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
-1,3894,-1_car_new_drive_driving,Noise / Outlier,"steering, driving, vehicle, driver, car, drive, road, toyota","car, new, drive, available, safety, control, standard, electric","car, new, drive","In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. || In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. || Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist. || It'll help you stand out when you're ready to step up. Ready to see for yourself? || Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims. || Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures."
0,4852,0_car_new_vehicle_driving,,"vehicle, car, vehicles, cars, driving, audi, bmw, corolla, mercedes, kia","car, new, vehicle, electric, features, cars, available, driver, performance","car, new, vehicle, driving","But the Mercedes-Benz S-Class was always ahead with time. One more thing I really love about this car. || Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces. || Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces. || Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. || Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. || And you can really tell that the car's been designed around the driver."
1,970,1_world_product_customers_need,,filtered_topic_terms_unavailable,filtered_topic_terms_unavailable,filtered_topic_terms_unavailable,"And we need to trust the people we hire and let them do the best work they can do. || Well, I know what we need you to do, and I'm here to make sure you see why. || We work a lot with freelancers, but... that is even make us a little bit more sometimes working with freelancers make a little bit more hard because you need to make they feel part of the company and understand the you know the culture of the company and your goals as a leader as well when is your team you're working. || This is a sponsored video, by the way. I'm just super excited. || They're gonna want to film later at night, so they can show off some LED lights 118 and we have to wait till sunset even have the show started We're out near Edwards Air Force Base Which is where Will Smith went in Independence Day and go see it and maybe even drive it An expensive car, but because of that it's really cool And I'm on board with this because it means I get to go check out all || But I'll take you for a spin. I'll settle for that. All right."
2,756,2_charging_charge_battery_range,,"charging, charge, charger, charged, recharge, chargers, battery, electric, kilowatts, kilowatt","charging, charge, battery, range, fast, charger, minutes, level, kilowatt","charging, charge, battery, range, fast, charger, volt, kilowatt","It will go 0 to 60 in just over seven seconds. After all that spirited driving, you can recharge to a 100-mile range in only 30 minutes, or climb back up to 80% charge in as little as 75 minutes using a DC fast charger, giving you the range and the charging speed you need where you want, when you want it. || But a new charging feature that's standard on Bolt EUV is a dual-level charge cord that offers both 120 volt and 240 volt options for fast and convenient charging without the need to buy a separate charging unit. || While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed. || The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this? || Weird. and there are many home charging options to fit your needs. || There's the included 9.6 kilowatt mobile plug-in charger, an available home installation charger, or even an available 19.2 kilowatt charging capability that includes charge ports on both sides."
3,481,3_interior_design_beautiful_modern,,"interior, design, inside, luxury, designers, materials, designer","interior, design, beautiful, modern, materials, designers, look, luxury, sculpture","interior, design, beautiful, modern, materials, designers, look","Now as we head into the interior, I want you to really take a look at the driver-oriented structure of this interior design. || You know, of course I want to go on about the interior. || I like the side view here from the front. Let's talk about the interior design. || And then when you go to the interior it only gets better. || What we've done here is we've separated it now from the bonnet here and moved the whole thing down. || It's a little bit more sporty than before. We've got more integrated design elements and more athletic feeling."
4,411,4_seats_seat_leather_space,,"seats, cargo, seating, spacious, seat, passengers, trunk, compartment, cabin, rear","seats, seat, space, leather, cargo, rear, heated, cubic, passengers","seats, seat, cargo, rear, passengers, row, fold, comfortable, trunk, seating","Limited has ventilated front seats, available heated rear seats, along with a power back door. || and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs. || I like it a lot. And also the seats are new, right? || And it only gets better on the inside with paddle shifters and redesigned sports seats. || And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. || Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather."
5,335,5_display_navigation_screen_touchscreen,,"displays, screens, touchscreen, screen, display, hyperscreen, audio, navigation, digital, wireless","display, navigation, screen, touchscreen, information, center, console, digital, new","display, navigation, screen, touchscreen, information, console, digital, interface","Plus, an available 12.3-inch digital gauge cluster and an available 10-inch head-up display help keep important information in the driver's line of sight. || What's more, an available 12.3-inch LCD multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight, giving RAV4 a high-tech feel. || Plus, an available 12.3-inch digital multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight. || Since most of the buttons and controls have been replaced with two large displays, the feature adds simplicity and minimalism to functionality. || The intuitive interface, inspired by typical smartphone navigation, optimizes the driver's control of settings and infotainment, as well as enhanced handwriting recognition. || The next generation of Audi Connect introduces connected navigation, 3D city models with predictive routing, and a more refined natural language selection system."
6,222,6_horsepower_engine_torque_liter,,"horsepower, engine, turbocharged, v8, engines, powertrain, v6, turbo, motor, motors","horsepower, engine, torque, liter, power, motor, cylinder, electric, pound, transmission","horsepower, engine, torque, liter, motor, cylinder, electric, transmission, turbo, v6","This is through an intelligent variable transmission. Now for those who want to take their driving experience to the next level, the GT-Line Turbo model is available with a 1.6 liter turbocharged engine that cranks out 190 horsepower and 195 pound-feet of torque. || The 3.0-liter V6 engine in the Q8 boasts an impressive 335 horsepower, 369 pound-feet of torque, and can go from 0 to 60 in 5.6 seconds. || This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque. || The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. || Now this thing is fun to drive. It has a whopping 377 total system horsepower. || a v6 engine in the back and then behind that v6 engine there's another direct drive motor and then so that electric motor is actually linked up to the crankshaft of this engine and then it's all sending all of that torque from the engine and the motor to the rear transmission and then splitting it to the two rear wheels."
7,184,7_ioniq_hyundai_charging_safety,,"ioniq, hyundai, ev, hybrid, innovative, sonata, vehicle, modular, electric, egmp","charging, new, safety, electric, platform, assist, space, avoidance, features","ioniq, hyundai, charging, electric, assist, egmp, mirai, avoidance, ev, features","So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen. || We are thrilled to introduce you to Hyundai's first ever IONIQ 5. || Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. || And second, at our Mirafuri facility, another facility in Torino, we collect solar energy from the rooftop and that solar power charges every 500e that leaves the factory. || Today, our eco-friendly lineup includes the IONIQ family with hybrid, plug-in hybrid and electric variants. || That's why Hyundai expanded its SmartSense safety technologies on the new Elantra."
8,166,8_rav4_rav4 prime_prime_hybrid,,"rav4, ev, hybrid, toyota, suv, vehicle, prime, rear, standard, lane","hybrid, available, road, standard, grade, plug, performance, safety","rav4, hybrid, prime, trd, toyota, standard, safety, woodland, seats","And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more. || Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime. || And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever. || In addition, separated fog lights are no longer necessary. The new light signature with two upside down L's makes for a dynamic look. || cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life. || And what about the wheels? Now, they aren't bad. 18-inch wheels on the Camry."
